message_id,from_id,message,date
16769,PeerUser(user_id=722194576),У меня 46000 Brett на кошельке чел,2024-06-15 18:21:12+00:00
16768,PeerUser(user_id=5789582849),оке брат по русски пиши вначале или сьбись в en chat,2024-06-15 18:20:55+00:00
16765,PeerUser(user_id=722194576),Why ?,2024-06-15 18:20:09+00:00
16762,,108%,2024-06-15 18:19:16+00:00
16759,,Eng Chat @brettcoinen_chat,2024-06-15 18:13:53+00:00
16758,PeerUser(user_id=5402131099),"My withdrawal has not been processed from June 13 until now, why?",2024-06-15 18:09:31+00:00
16757,,Airdrop будет остановлен 20.06.2024,2024-06-15 17:58:17+00:00
16756,PeerUser(user_id=955418596),А до какого числа можно будет приглашать? (Имею в виду до Airdrop),2024-06-15 17:57:52+00:00
16753,PeerUser(user_id=955418596),"Понял, спасибо большое",2024-06-15 17:56:27+00:00
16752,PeerUser(user_id=5082882946),"Сейчас идет Airdrop. Приглашаешь друзей, активируешь чеки и выводишь $BRETT

1 $BRETT - 0.0002 TON

Скоро будет Mining где можно будет фармить BRETT",2024-06-15 17:55:45+00:00
16751,PeerUser(user_id=955418596),"Парни, расскажите пожалуйста, что это вообще за тема с Brett?",2024-06-15 17:54:55+00:00
16750,PeerUser(user_id=5789582849),ок спасибо,2024-06-15 17:39:44+00:00
16749,,Но листинг точно не раньше 26.06,2024-06-15 17:39:27+00:00
16748,,Точной даты нету,2024-06-15 17:39:19+00:00
16747,PeerUser(user_id=5789582849),"здравствуйте, а когда будет листинг?",2024-06-15 17:30:54+00:00
16746,PeerUser(user_id=7359186918),Yes,2024-06-15 17:22:58+00:00
16745,,"Если указали то нажмите на кнопку ""Check"" My Deposit",2024-06-15 17:21:57+00:00
16744,,Вы указали комментарий?,2024-06-15 17:20:14+00:00
16743,PeerUser(user_id=926001407),"Здравствуйте, хотелось бы узнать что с моим депозитом, почему так долго не приходит?",2024-06-15 17:17:58+00:00
16742,PeerUser(user_id=6006484316),"Окей, спасибо, поставил вчера в 21:22",2024-06-15 17:16:52+00:00
16741,,Если же вы выбрали способ slow то ожидайте листинга,2024-06-15 17:16:43+00:00
16740,PeerUser(user_id=587475324),"понял, спасибо)",2024-06-15 17:16:18+00:00
16739,,Если поставили сегодня то вам прийдёт сегодня или завтра,2024-06-15 17:16:07+00:00
16738,,Если вы поставили вчера то вам прийдёт сегодня,2024-06-15 17:15:56+00:00
16737,,Мы выводим fast выводы за прошлый день,2024-06-15 17:15:48+00:00
16736,PeerUser(user_id=587475324),"кстати да тоже самое, выводил фаст, а до сих пор нет инфо
или там дольше суток?",2024-06-15 17:14:36+00:00
16735,PeerUser(user_id=6006484316),Да,2024-06-15 17:14:33+00:00
16734,,Вы выводите способом Fast?,2024-06-15 17:13:56+00:00
16733,PeerUser(user_id=6006484316),"Здравствуйте, подскажите что там с моим выводом, он в очереди?",2024-06-15 17:13:32+00:00
16732,,Чат открыт,2024-06-15 17:12:50+00:00
16731,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: vaybll
🔵Amount: 9600 15350 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/9112d55a845f10f56a2537f7c312c0b6f300a55aa4e6e1b67690aaad058e5811",2024-06-15 00:10:55+00:00
16730,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: shwtyjpg
🔵Amount: 3967 11967 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/044e4d5651739379e2f24d7856f8087db6eb5118c06f7b0b59f0b402e594b98e",2024-06-15 00:00:30+00:00
16729,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: xlightxc
🔵Amount: 10300 12477 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/6497856a09391e8a086870927e4fba2395d9534da2eef8a99a5a99f16fd33674",2024-06-14 23:56:01+00:00
16722,PeerUser(user_id=1229693046),"хорошо, спасибо",2024-06-14 10:01:55+00:00
16721,,Как карта ляжет так и будет :),2024-06-14 10:01:37+00:00
16720,,Нет информации,2024-06-14 10:01:31+00:00
16719,PeerUser(user_id=1229693046),листинг точно 26 будет?,2024-06-14 10:00:02+00:00
16718,,Please communicate here in CIS languages,2024-06-14 09:56:54+00:00
16714,,Eng chat @brettcoinen_chat,2024-06-14 09:50:38+00:00
16710,,"F.A.Q 

1. Как вывести brett с Airdrop
 - https://telegra.ph/Kak-vyvesti-BRETT-05-25

1. How to withdraw brett?
https://telegra.ph/How-to-withdraw-BRETT-05-25",2024-06-14 09:48:46+00:00
16709,PeerUser(user_id=6224088053),how to add wallet,2024-06-14 09:48:24+00:00
16708,PeerUser(user_id=5082882946),Мне все выводят :),2024-06-14 09:47:33+00:00
16707,,108%,2024-06-14 09:47:05+00:00
16705,,Одобряем быстрые выводы в течении дня,2024-06-14 09:46:07+00:00
16704,,Очереди нету,2024-06-14 09:45:33+00:00
16703,PeerUser(user_id=6006484316),По быстрых выводах очередь большая?,2024-06-14 09:45:12+00:00
16702,,чат открыт,2024-06-14 09:41:12+00:00
16698,PeerUser(user_id=5282477574),,2024-06-13 14:19:54+00:00
16697,PeerUser(user_id=6027989250),,2024-06-13 14:13:47+00:00
16696,PeerUser(user_id=5110520712),,2024-06-13 13:03:53+00:00
16694,,Eng chat @brettcoinen_chat,2024-06-13 12:55:34+00:00
16687,,26.06 maybe,2024-06-13 12:52:17+00:00
16686,PeerUser(user_id=6900793221),When listing sir?,2024-06-13 12:51:55+00:00
16685,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: yaaakuu
🔵Amount: 9000 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/77a349c54996df4ee3cc4439151571c1426571301afcc881cb843ddaed923265",2024-06-13 12:16:05+00:00
16683,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: assawauh
🔵Amount: 10000 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/06973e855b9a4b0bcfd5ceb6e374133cd511c379bde5a30ef7c293a571b02699",2024-06-13 12:13:10+00:00
16682,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: Tomlopi
🔵Amount: 10000 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/e2b42082e2ff620bd412ad000e4cc23f932be9157e26bed6fc461782286f8ede",2024-06-13 12:10:02+00:00
16681,,Попробуйте,2024-06-13 12:09:44+00:00
16680,PeerUser(user_id=581882809),А еще один вывод заказать можно?,2024-06-13 12:07:44+00:00
16679,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: Yukirin177
🔵Amount: 10000 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/c44700ac9a7674bd25001bed6c6b1f36fef6aba7b82494958c389b1548d98a09",2024-06-13 12:06:21+00:00
16676,,"Вывод от 10000

F.A.Q 

1. Как вывести brett с Airdrop
 - https://telegra.ph/Kak-vyvesti-BRETT-05-25

1. How to withdraw brett?
https://telegra.ph/How-to-withdraw-BRETT-05-25",2024-06-13 11:36:03+00:00
16675,,Slow withdraw нельзя отменить,2024-06-13 11:35:43+00:00
16674,PeerUser(user_id=6539117635),Как вывести Я не понимаю у меня 3500 brett,2024-06-13 11:35:35+00:00
16673,PeerUser(user_id=581882809),"Подскажите.
Я сделал вывод слоу. А потом еще насобирал 10000, моно как-то добавить к тому, или делается еще один отдельный?",2024-06-13 11:34:48+00:00
16672,,Баланс же airdrop 8.4 млн $BRETT,2024-06-13 11:33:38+00:00
16671,,У нас всего 400 выводов slow,2024-06-13 11:33:20+00:00
16670,PeerUser(user_id=6675601379),дак а монет то уже все почти раздали как распределяете вы их слоу вывод или за свой щет непонимание  будет  потом будет просто напросто,2024-06-13 11:31:56+00:00
16669,,Slow withdraw только после листинга,2024-06-13 11:28:05+00:00
16668,PeerUser(user_id=6675601379),здравствуйте а можно заявку на вывод обработать,2024-06-13 11:27:43+00:00
16666,,Eng chat @brettcoinen_chat,2024-06-13 10:57:19+00:00
16663,PeerUser(user_id=587475324),будет ещё увеличено монет за реферала?,2024-06-13 10:45:27+00:00
16661,PeerUser(user_id=460977353),+ 1,2024-06-13 10:43:31+00:00
16648,PeerUser(user_id=5472099713),Hi,2024-06-13 09:27:39+00:00
16646,,Hello,2024-06-13 09:20:40+00:00
16645,PeerUser(user_id=6975114772),Hello,2024-06-13 09:20:17+00:00
16644,PeerUser(user_id=6312773820),When landing my withdraw?,2024-06-13 09:09:42+00:00
16642,,Eng chat @brettcoinen_chat,2024-06-13 09:04:14+00:00
16641,PeerUser(user_id=6323840857),Hahahahah,2024-06-13 09:04:03+00:00
16635,PeerUser(user_id=393178474),жаль нету такого способа вывода чтобы оплатить комсу сейчас а токены чтобы начислились на листинге в полном обьеме,2024-06-13 08:58:32+00:00
16634,PeerUser(user_id=6676594606),Нормальная такая халява)),2024-06-13 08:58:09+00:00
16632,PeerUser(user_id=1287183501),Pake yang slow apa fast wd bang?,2024-06-13 08:56:56+00:00
16631,PeerUser(user_id=5978066895),2.3 usdt между прочим по цене листинга,2024-06-13 08:56:19+00:00
16630,PeerUser(user_id=1287183501),Mantap,2024-06-13 08:55:55+00:00
16628,PeerUser(user_id=6347257503),Спасибо,2024-06-13 08:55:29+00:00
16627,PeerUser(user_id=581882809),Мерси,2024-06-13 08:55:14+00:00
16626,PeerUser(user_id=6676594606),Спасибо,2024-06-13 08:55:09+00:00
16625,PeerChannel(channel_id=2038739254),"🚀 Airdrop cheque for 1275000 $BRETT


Inside cheque: 850 activation(s) for 1500 $BRETT",2024-06-13 08:54:37+00:00
16624,PeerChannel(channel_id=2038739254),"Успей поучаствовать!!! Осталось 7 дней до итогов рейтинга с призами на 70000$! 😌

Текущий рейтинг:
🥇 None • 1088 
🥈 fuscizearning • 995 
🥉 None • 861 
4. HEKPY3 • 804 refferals 
5. Achaemenid_369 • 782 refferals 
6. None • 608 refferals 
7. imamirravani • 568 refferals
8. None • 504 refferals 
9. Obrit26 • 388 refferals 
10. Taufiktsany002 • 376 refferals 
11. sh2nki • 324 refferals 
12. assawauh • 302 refferals 
13. ndieaditya14 • 296 refferals 
14. bangazzah17 • 247 refferals 
15. ovonte • 229 refferals 
16. ntruv • 213 refferals 
17. syarahmey • 211 refferals 
18. Sempolxx • 187 refferals 
19. Kunci_pintu • 186 refferals 
20. ewjbdj • 176 refferals 

👉Подводить итоги рейтинга будем 20.06.2024 в 18:00 так что у вас все ещё есть ну очень большой шанс занять призовое место. 🥹

🏡 Канал | Channel EN  | Airdrop | Brett club | Twitter | Mining 🏡",2024-06-13 08:51:39+00:00
16622,PeerUser(user_id=1748054843),хорошо,2024-06-13 08:47:17+00:00
16621,,Значит смените в настройках на нормальный адрес и переставьте вывод.,2024-06-13 08:46:26+00:00
16620,PeerUser(user_id=1748054843),не,2024-06-13 08:45:55+00:00
16619,,Хотите на него вывод одобрим?,2024-06-13 08:45:47+00:00
16618,,У вас очень правильный адрес,2024-06-13 08:45:34+00:00
16616,PeerUser(user_id=1748054843),"а почему мне вывод отклоняет,хотя адрес кипера правильный",2024-06-13 08:44:40+00:00
16609,,Вижу только отмененные выводы за фейк аккаунты,2024-06-13 08:34:59+00:00
16608,,У тебя вообще на данном аккаунте нету выводов,2024-06-13 08:34:13+00:00
16607,,У тебя на твоём аккаунте нету fast withdraw,2024-06-13 08:32:16+00:00
16606,PeerUser(user_id=6753483178),"Я зробив три зняття коштів, перше повільним методом. другий і третій швидким методом вартістю 0.08 TON",2024-06-13 08:30:37+00:00
16605,PeerUser(user_id=6753483178),"Чому так? Коли моє відкликання буде схвалено? Я здійснив виведення швидким методом з комісією 0,08 TON.",2024-06-13 08:29:11+00:00
16604,,Slow выводы одобрят только после листинга токена,2024-06-13 08:27:38+00:00
16603,,У тебя slow withdraw,2024-06-13 08:27:30+00:00
16602,,Твой вывод и не одобрят сейчас,2024-06-13 08:27:23+00:00
16600,PeerUser(user_id=6753483178),"Будь ласка, переконайтеся, що моє зняття 4 дні тому не було схвалено. Будь ласка, підтвердьте моє відкликання.",2024-06-13 08:26:22+00:00
16598,,Eng chat @brettcoinen_chat,2024-06-13 08:23:46+00:00
16597,,Тоесть вы считаете что монеты должны быть у вас на балансе что бы вы 100 раз делали заявки на вывод по 10000 $BRETT и абузили систему ?,2024-06-13 08:23:33+00:00
16596,PeerUser(user_id=6609518067),"Dear Mr. Brett, can you check my withdrawal? 
I've been withdrawing but haven't logged in for these 3 days",2024-06-13 08:23:25+00:00
16595,PeerUser(user_id=710643613),10000 Brett,2024-06-13 08:23:14+00:00
16594,,"Кто ""они"" пропали?",2024-06-13 08:22:40+00:00
16593,PeerUser(user_id=710643613),"Здравствуйте. Я поставил на вывод на прошлой неделе , они пропали но и не пришли …..",2024-06-13 08:22:13+00:00
16592,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: yaone06
🔵Amount: 9100 10300 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/c79efb7bc1cacdf3ebb6afb21cf20a23b1e562b83e397e3a21452d3cf9ac0acb",2024-06-13 08:22:11+00:00
16591,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: Ascentumtoken
🔵Amount: 11000 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/eb5b1e927b2abdfe66cf95801b5da6389575036e4f1f055a7b8be6b33c17ef01",2024-06-13 08:18:28+00:00
16585,PeerUser(user_id=6387358913),Why cancel ?,2024-06-13 07:57:15+00:00
16584,PeerUser(user_id=936116089),миниган?,2024-06-13 07:46:42+00:00
16583,PeerUser(user_id=6753483178),"Будь ласка, підтвердьте моє відкликання. Перевірте негайно. 
GM $Brett ☺",2024-06-13 07:45:02+00:00
16580,,На вопрос Виктории я ответила.,2024-06-13 07:26:31+00:00
16579,,Читайте канал и узнаете,2024-06-13 07:26:23+00:00
16578,,Вся информация уже есть в канале,2024-06-13 07:26:18+00:00
16577,PeerUser(user_id=5188434393),"Добрый день! А какая цена при листинг будет? И Виктория верно спрашивает,а можно ли 25-го числа подать на вывод?",2024-06-13 07:20:39+00:00
16576,PeerUser(user_id=6323840857),Breetttttt,2024-06-13 07:17:29+00:00
16575,,Мы выводим только если вы продаете заявку,2024-06-13 07:12:45+00:00
16574,,С баланса мы деньги не выводим,2024-06-13 07:12:33+00:00
16573,,Ту сумму которую вы поставите выведут,2024-06-13 07:12:26+00:00
16571,PeerUser(user_id=6654912955),Т9 дурак😂,2024-06-13 06:57:40+00:00
16570,PeerUser(user_id=6654912955),Токены,2024-06-13 06:56:13+00:00
16569,,Что за рокеты?,2024-06-13 06:55:42+00:00
16568,PeerUser(user_id=6654912955),"А если сегодня подам на вывод, остальные рокеры засчитаются?",2024-06-13 06:55:06+00:00
16567,,Чем раньше тем лучше,2024-06-13 06:53:50+00:00
16566,,В последний день могут лимиты быть и вас не выведут,2024-06-13 06:53:47+00:00
16565,PeerUser(user_id=6654912955),Здравствуйте! А когда лучше подать на вывод? В последний день или сейчас можно? Просто у меня небольшая сумма пока,2024-06-13 06:52:46+00:00
16564,,Нельзя,2024-06-13 06:51:17+00:00
16563,PeerUser(user_id=485517647),А можно своих рефов передать?,2024-06-13 06:43:01+00:00
16562,PeerUser(user_id=1247869930),Thanks +600,2024-06-13 06:41:12+00:00
16561,PeerUser(user_id=6911703968),сяб,2024-06-13 06:41:06+00:00
16560,PeerUser(user_id=5082882946),Спасибо,2024-06-13 06:40:44+00:00
16559,,"🚀 Airdrop cheque for 30000 $BRETT


Inside cheque: 50 activation(s) for 600 $BRETT",2024-06-13 06:39:52+00:00
16554,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: None
🔵Amount: 12100 12400 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/b4462009a5828057e8b0fe7e1c115494b361c440bc6818d78045c124f4364d2e",2024-06-13 06:11:54+00:00
16553,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: Fretss0
🔵Amount: 11200 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/cfc352de035f34e542d54c2c62750b277e8190f5e6cba9e888412868c5846ba0",2024-06-13 05:57:26+00:00
16552,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: nk_arndys
🔵Amount: 11677 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/db786b57742c8a15fcbdc30375ebce96779a9b9510c49ac97fdde740b177d3c6",2024-06-13 05:53:17+00:00
16550,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: None
🔵Amount: 11700 12000 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/541343055933e3b7bd7bb8ad8cc887bc3d87a8f1eab3e959d97cb07b8f9f2dd5",2024-06-13 05:44:48+00:00
16549,,@brett_support_bot,2024-06-13 05:42:15+00:00
16548,PeerUser(user_id=6803846608),"всем привет, есть контакт саппорта?",2024-06-13 05:41:23+00:00
16547,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: tomekjaworskiCLS
🔵Amount: 9300 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/0107151e5de7c39240c15f15cc3791ef6818f7ea54b953d37f2180f7fc9d0426",2024-06-13 05:40:55+00:00
16546,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: baraboliq
🔵Amount: 25000 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/929dc0357f7fa0b738913b22a9b75297acb09d5197e3a9f0181f82b9efc4a72f",2024-06-13 05:27:59+00:00
16545,,"😌New withdraw @BrettAirdrop_bot 

🧑‍🚀User: aARIESSss
🔵Amount: 10248 $BRETT
☯️Fee: 0.08 TON
💎Network: TON
✔️Status: ⏺
❌Transaction: https://tonviewer.com/transaction/f99fe331e92dba20cd6ee06ad385f5a3e47bade7d8d9a7d05783c734205571b8",2024-06-13 05:25:49+00:00
16544,PeerUser(user_id=5188434393),Аа все поняла. Спасибо вам большое!!!,2024-06-12 18:26:57+00:00
16543,,Загуглите что такое mining,2024-06-12 18:26:42+00:00
16542,,Вы не умеете отличать Airdrop от mining?,2024-06-12 18:26:35+00:00
16541,,Майнинг ещё не начался,2024-06-12 18:25:57+00:00
16540,PeerUser(user_id=5188434393),"26-го числа во сколько закончится майнинг? Получается,нужно максимально собрать и потом подать на вывод?",2024-06-12 18:25:38+00:00
16538,,"F.A.Q 

1. Как вывести brett с Airdrop
 - https://telegra.ph/Kak-vyvesti-BRETT-05-25

1. How to withdraw brett?
https://telegra.ph/How-to-withdraw-BRETT-05-25",2024-06-12 18:25:10+00:00
16537,PeerUser(user_id=5188434393),Я ещё от подруг своих майню. Можно ли как-то объединить с моим кошельком?,2024-06-12 18:24:37+00:00
16536,,Eng chat: @brettcoinen_chat,2024-06-12 18:24:32+00:00
16535,,https://t.me/brettcoin_chat/16509,2024-06-12 18:23:26+00:00
16534,PeerUser(user_id=5188434393),И какой кошелёк используется? Телеграмма?,2024-06-12 18:23:09+00:00
16533,PeerUser(user_id=440685122),10k,2024-06-12 18:23:04+00:00
16532,PeerUser(user_id=5498854185),What is the minimum WD?,2024-06-12 18:22:53+00:00
16531,PeerUser(user_id=5188434393),"Здравствуйте! Можно спросить. Что необходимо,чтобы вывести на кошелёк?",2024-06-12 18:22:08+00:00
16530,PeerUser(user_id=340815835),I'm new to join this group,2024-06-12 18:21:57+00:00
16529,,Webapp,2024-06-12 18:14:54+00:00
16528,PeerUser(user_id=6241597967),А чеки будут ещё?,2024-06-12 18:07:41+00:00
16527,PeerUser(user_id=6874318499),Hi,2024-06-12 18:05:26+00:00
16526,PeerUser(user_id=6006484316),А как будет идти майнинг если бота отключат?,2024-06-12 18:02:45+00:00
16524,,Если не успеем то будет перенос mining на пару дней,2024-06-12 17:57:14+00:00
16523,,Надеюсь успеем доработать mining до 20 числа,2024-06-12 17:56:55+00:00
16522,,Скорее всего завтра анонс нфт),2024-06-12 17:56:35+00:00
16521,,Бот будет отключен...,2024-06-12 17:55:17+00:00
16520,PeerUser(user_id=6006484316),А что с ними станет?,2024-06-12 17:55:03+00:00
16519,,На новый кошелек нет,2024-06-12 17:54:48+00:00
16518,,Бесплатных нету,2024-06-12 17:54:40+00:00
16517,,Выводить нельзя будет после 26.06.2024,2024-06-12 17:54:29+00:00
16516,PeerUser(user_id=1229693046),"а есть разница, что сейчас выводить, что после листинга?",2024-06-12 17:53:26+00:00
16515,PeerUser(user_id=6675601379),а подскажите через сколько бесплные монеты ещё будут  в группе сегодня,2024-06-12 17:32:58+00:00
16513,PeerUser(user_id=1641287950),?,2024-06-12 17:26:33+00:00
16512,PeerUser(user_id=1641287950),Если я щас изменю адрес кошелька мне придут ранее выведены 10.000brett,2024-06-12 17:19:26+00:00
16510,PeerUser(user_id=6675601379),а можно ну все оке,2024-06-12 17:14:19+00:00
